Iteration,QD-Score,Coverage,Maximum,Average
217,1475783.751703011,0.6352,3588.8303262114523,929.3348562361531
218,1476683.1898872731,0.6352,3588.8303262114523,929.9012530776279
219,1476796.1197271978,0.6352,3588.8303262114523,929.9723675863966
220,1476796.1197271978,0.6352,3588.8303262114523,929.9723675863966
221,1477009.5272623573,0.6352,3588.8303262114523,930.1067552029958
222,1477137.403185961,0.6352,3588.8303262114523,930.1872816032501
223,1477671.8642872486,0.6352,3588.8303262114523,930.5238440096024
224,1477716.825935701,0.6352,3588.8303262114523,930.5521573902398
225,1477980.7159043285,0.6352,3588.8303262114523,930.718334952348
226,1478448.5932650182,0.6352,3588.8303262114523,931.012968051019
227,1478499.0977175268,0.6352,3588.8303262114523,931.0447718624224
228,1478819.410432181,0.6352,3588.8303262114523,931.2464801210208
229,1479276.2970110807,0.6352,3588.8303262114523,931.534192072469
230,1481012.7623138044,0.6352,3588.8303262114523,932.627684076703
231,1481012.7623138044,0.6352,3588.8303262114523,932.627684076703
232,1484955.9060179088,0.6356,3588.8303262114523,934.5222819495965
233,1490254.4193412652,0.6364,3588.8303262114523,936.6778248530894
234,1503532.7397493515,0.638,3588.8303262114523,942.653755328747
235,1519205.2438795674,0.6388,3588.8303262114523,951.2869404380509
236,1529740.0007079148,0.6388,3588.8303262114523,957.8835320650687
237,1529740.0007079148,0.6388,3588.8303262114523,957.8835320650687
238,1529806.7883201488,0.6388,3588.8303262114523,957.9253527364739
239,1530227.8719998472,0.6388,3588.8303262114523,958.1890244206933
240,1530391.7764737932,0.6388,3588.8303262114523,958.2916571532832
241,1531386.6588515437,0.6388,3588.8303262114523,958.914626707291
242,1533316.5694219042,0.6388,3588.8303262114523,960.123086676208
243,1535428.843180921,0.6388,3588.8303262114523,961.44573774635
244,1544083.6325889693,0.6388,3588.8303262114523,966.8651425103127
245,1597563.8192782316,0.6388,3588.8303262114523,1000.3530490157993
246,1638508.7036040837,0.6388,3588.8303262114523,1025.9916741415677
247,1659174.4193462513,0.6388,3588.8303262114523,1038.9320096094248
248,1685466.130422685,0.6392,3588.8303262114523,1054.7347499516177
249,1734982.294332522,0.6392,3588.8303262114523,1085.7210853144693
250,1752723.2535461928,0.6392,3588.8303262114523,1096.8230622942383
251,1759744.334153645,0.64,3588.8303262114523,1099.8402088460282
252,1769959.2872711935,0.6416,3588.8303262114523,1103.4658898199461
253,1787953.985201265,0.6468,3588.8303262114523,1105.722934570974
254,1819887.3675943061,0.6484,3588.8303262114523,1122.6942428095658
255,1884585.9046041723,0.6492,3588.8303262114523,1161.174309676015
256,1908323.421750581,0.6492,3588.8303262114523,1175.800013401467
257,1916866.3229380718,0.6496,3588.8303262114523,1180.3364057500442
258,1928832.327671836,0.65,3588.8303262114523,1186.9737401057453
259,1948608.1779896447,0.65,3588.8303262114523,1199.1434941474736
260,1974415.8276205503,0.65,3588.8303262114523,1215.0251246895693
