Iteration,QD-Score,Coverage,Maximum,Average
185,1443880.7732944963,0.2912,9690.89494960308,1983.3527105693631
186,1447178.624600124,0.2916,9690.89494960308,1985.1558636490042
187,1453546.915338063,0.2916,9690.89494960308,1993.8915162387693
188,1458087.8466215369,0.2916,9690.89494960308,2000.1205029102016
189,1465985.238277721,0.2916,9690.89494960308,2010.9536876237598
190,1468345.0194400544,0.2916,9690.89494960308,2014.1906988203764
191,1468345.0194400544,0.2916,9690.89494960308,2014.1906988203764
192,1469632.0941175695,0.2916,9690.89494960308,2015.9562333574343
193,1469887.3106292244,0.292,9690.89494960308,2013.5442611359238
194,1470990.9270632262,0.2948,9690.89494960308,1995.9171330572947
195,1470990.9270632262,0.2948,9690.89494960308,1995.9171330572947
196,1472091.011331546,0.2964,9690.89494960308,1986.627545656607
197,1483091.8151023502,0.3044,9690.89494960308,1948.872293169974
198,1489069.9149127598,0.3076,9690.89494960308,1936.3718009268657
199,1489763.1517543907,0.3076,9690.89494960308,1937.2732792644872
200,1493457.249531209,0.3084,9690.89494960308,1937.0392341520221
201,1494282.9171991462,0.3088,9690.89494960308,1935.5996336776507
202,1494282.9171991462,0.3088,9690.89494960308,1935.5996336776507
203,1495082.520532548,0.3088,9690.89494960308,1936.6353892908653
204,1499885.3154052373,0.3088,9690.89494960308,1942.856626172587
205,1500342.036671507,0.3088,9690.89494960308,1943.4482340304494
206,1506147.1060433027,0.3092,9690.89494960308,1948.4438629279466
207,1512463.0939734455,0.31,9690.89494960308,1951.5652825463812
208,1515602.0738527293,0.31,9690.89494960308,1955.615579164812
209,1515602.0738527293,0.31,9690.89494960308,1955.615579164812
210,1519075.0562011832,0.3128,9690.89494960308,1942.5512227636614
211,1519295.012547838,0.314,9690.89494960308,1935.407659296609
212,1519794.1678562993,0.314,9690.89494960308,1936.0435259315914
213,1520879.4355660076,0.314,9690.89494960308,1937.4260325681626
214,1521458.238285839,0.314,9690.89494960308,1938.1633608736804
215,1522701.44464699,0.3148,9690.89494960308,1934.8175916734306
216,1522808.4716009733,0.3152,9690.89494960308,1932.4980604073264
217,1535788.833134478,0.3336,9690.89494960308,1841.473421024554
218,1538572.664967447,0.3392,9690.89494960308,1814.354557744631
219,1541044.1613849099,0.3436,9690.89494960308,1793.997859586624
220,1546117.644610053,0.3504,9690.89494960308,1764.9744801484621
221,1546860.9340904173,0.352,9690.89494960308,1757.7965160118379
222,1550158.903992313,0.3524,9690.89494960308,1759.5447264384936
223,1550862.5335310993,0.3532,9690.89494960308,1756.3562101144953
224,1552733.3876460132,0.354,9690.89494960308,1754.5010029898453
225,1552733.3876460132,0.354,9690.89494960308,1754.5010029898453
226,1554622.8952724752,0.354,9690.89494960308,1756.636039855904
227,1555915.8599225339,0.3596,9690.89494960308,1730.7184203810166
228,1558810.5967265065,0.3644,9690.89494960308,1711.0983498644418
229,1562648.9531785185,0.366,9690.89494960308,1707.8130635830803
230,1567525.2260924394,0.3776,9690.89494960308,1660.5140106911433
231,1567544.3686366612,0.3776,9690.89494960308,1660.5342888100224
232,1567581.2390587623,0.3776,9690.89494960308,1660.5733464605532
233,1567952.3386926467,0.3784,9690.89494960308,1657.4549034805991
234,1568756.8824965889,0.3788,9690.89494960308,1656.554258180136
235,1571796.3660977655,0.3848,9690.89494960308,1633.8839564425837
236,1576869.7362052493,0.3852,9690.89494960308,1637.4555931518685
237,1577919.4069348387,0.388,9690.89494960308,1626.7210380771533
